source_row,document_identity,qatarenergy_document_no,vendor_document_no,project_document_no,revision,revision_raw,issue_code,review_code,revision_type,revision_rank,revision_band,is_latest_revision,revision_status,match_status,match_method,reason,document_title,discipline,originator,issued_date,workbook_latest_flag,renumbering_note,is_exception,exception_reason
6,4391MTY0160129,4391-MTY-0-16-0129,DEW-5718-T-238,,1,1,IFC,DEL,NUMERIC,1,0,True,LATEST,NOT_MATCHED,,highest revision in group (2 row(s)); band=NUMERIC rank=1,CERTIFICATES FOR BCP DEPARTMENT STAMP (LIFTING TOOLS AND TACKLES),BCP,DANEM,-,,False,False,
7,VEN4391MEWTP3040005,VEN-4391-MEWTP-3-04-0005,DEW-5718-T-054,,0,0,IFI,DAN,NUMERIC,0,0,True,LATEST,NOT_MATCHED,,highest revision in group (1 row(s)); band=NUMERIC rank=0,PROJECT HSE PLAN,HSE,DANEM,2023-09-13 00:00:00,,False,False,
8,ASMAMGPR014391SD0001,ASMA-MG-PR-01-4391-SD-0001,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) PLAN AND BASE PLATE DETAILS.",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
9,ASMAMGPR014391SD0002,ASMA-MG-PR-01-4391-SD-0002,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) PLAN VIEW",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
10,ASMAMGPR014391SD0003,ASMA-MG-PR-01-4391-SD-0003,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) ELEVATION AND FIXING DETAILS",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
11,ASMAMGPR014391SD0004,ASMA-MG-PR-01-4391-SD-0004,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) ELEVATION AND FIXING DETAILS",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
12,ASMAMGPR014391SD0005,ASMA-MG-PR-01-4391-SD-0005,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) ELEVATION AND FIXING DETAILS",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
13,ASMAMGPR014391SD0006,ASMA-MG-PR-01-4391-SD-0006,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) TYPICAL FIXING DETAILS",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
14,ASMAMGPR014391SD0007,ASMA-MG-PR-01-4391-SD-0007,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) TYPICAL FIXING DETAILS",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
15,ASMAMGPR014391SD0008,ASMA-MG-PR-01-4391-SD-0008,ASMA-TN-0035 ASMA-TN-0030,,0,0,IFI,IFI,NUMERIC,0,0,False,OLD,NOT_MATCHED,,superseded by revision '1' (band=NUMERIC),"MESAIEED,MTY EPIC FOR NEW EFFLUENT WATER TREATMENT PLANT FOR NGL AT MESAIEED STEEL PIPE RACK (PR-01) TYPICAL FIXING DETAILS",CIVIL,ASMA,2024-09-11 00:00:00,NL,False,False,
