source_row,document_identity,qatarenergy_document_no,vendor_document_no,project_document_no,revision,revision_raw,issue_code,review_code,revision_type,revision_rank,revision_band,is_latest_revision,revision_status,match_status,match_method,reason,document_title,discipline,originator,issued_date,workbook_latest_flag,renumbering_note,is_exception,exception_reason
35,4391MTY1840001001,4391-MTY-1-84-0001-001,TN-0998,,0,0,IFC,-,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,DRAWINGS FOR IRRIGATION TRANSFER PUMP,CIVIL-DWG,TEN,-,,False,True,2 rows share the highest revision '0'; latest is ambiguous
36,MEWTP6130006,MEWTP-6-13-0006,TN-1403,,B,B,AFC,TEN,ALPHABETIC,1,1,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,PROCESS DATASHEET FOR NEW EFFLUENT WATER TREATMENT PLANT PACKAGE,PROCESS,TEN,2024-03-25 00:00:00,-,False,True,2 rows share the highest revision 'B'; latest is ambiguous
60,4391WPR0031,4391-WPR-0031,TL-0329,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0031 WPR (28-FEB-25 TO 06-MAR-25),WPR,TEB,2025-03-11 00:00:00,,False,True,2 rows share the highest revision '0'; latest is ambiguous
61,4391WPR0032,4391-WPR-0032,TL-0329,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,Weekly Progress Report-0032 WPR (07-Mar-25 to 13-Mar-25),WPR,TEB,2025-03-17 00:00:00,,False,True,2 rows share the highest revision '0'; latest is ambiguous
62,4391WPR0033,4391-WPR-0033,TL-0347,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0033 WPR (14-MAR-25 TO 20-MAR-25),WPR,TEB,2025-03-17 00:00:00,,False,True,2 rows share the highest revision '0'; latest is ambiguous
63,4391WPR0034,4391-WPR-0034,TL-0357,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0034 WPR (21-MAR-25 TO 27-MAR-25),WPR,TEB,2025-04-02 00:00:00,,False,True,2 rows share the highest revision '0'; latest is ambiguous
64,4391WPR0035,4391-WPR-0035,TL-0361,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0035 WPR (28-MAR-25 TO 03-APR-25),WPR,TEB,2025-04-07 00:00:00,-,False,True,3 rows share the highest revision '0'; latest is ambiguous
65,4391WPR0036,4391-WPR-0036,TL-0370,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0035 WPR (04-APR-25 TO 10-APR-25),WPR,TEB,2025-04-13 00:00:00,-,False,True,3 rows share the highest revision '0'; latest is ambiguous
66,4391WPR0037,4391-WPR-0037,TL-0379,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0037 WPR (11-APR-25 TO 17-APR-25),WPR,TEB,2025-04-21 00:00:00,-,False,True,3 rows share the highest revision '0'; latest is ambiguous
67,4391WPR0038,4391-WPR-0038,TL-0392,,0,0,IFI,IFI,NUMERIC,0,0,False,EXCEPTION,NOT_MATCHED,,AMBIGUOUS_TOP_REVISION,WEEKLY PROGRESS REPORT-0038 WPR (18-APR-25 TO 24-APR-25),WPR,TEB,2025-04-27 00:00:00,-,False,True,3 rows share the highest revision '0'; latest is ambiguous
