source_row,vendor,transmittal_no,vendor_document_no,project_document_drawing_no,project_doc_no,revision_raw,revision,description,match_status,match_method,match_source_field,matched_document,candidates,reason
6,BAUER INTERNATIONAL QATAR LLC,QT169-DW-001,,4391-MTY-1-G-0071,VEN-4391-MTY-1-12-0002,1,1,"GROUTED WALL, MICRO PILE LAYOUT & SECTION DETAILS DRAWINGS (1 AND 2)-Rev.1",EXACT,EXACT,PROJECT_DOC_NO,VEN-4391-MTY-1-12-0002,,exact match on PROJECT_DOC_NO
7,BAUER INTERNATIONAL QATAR LLC,QT169-OT-001,,BQ-IMS-QT-169/DS-01-B,VEN-4391-MTY-1-12-0002,2,2,DESIGN REPORT: GROUTING FOR SHORING WALL PART-1 NGL-1 Rev.2,EXACT,EXACT,PROJECT_DOC_NO,VEN-4391-MTY-1-12-0002,,exact match on PROJECT_DOC_NO
8,BAUER INTERNATIONAL QATAR LLC,QT169-DW-002,,4391-MTY-1-G-0072,,1,1,GROUTED WALL CAPPING BEAM DETAILS 4391-MTY-1-G-0072 Rev.01,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
9,BAUER INTERNATIONAL QATAR LLC,QT169-MS-001,,VEN-4391-MTY-1-19-0002,,2,2,Method Statement for Soil Stabilization by Permeation Grouting and Installation of Micro piles VEN-4391-MTY-1-19-0002 Rev.02,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MTY-1-19-0002,,exact match on PROJECT_DOCUMENT_DRAWING_NO
10,BAUER INTERNATIONAL QATAR LLC,QT169-MS-001,,VEN-4391-MTY-1-19-0002,VEN-4391-MTY-1-12-0002,3,3,Method Statement for Soil Stabilization by Permeation Grouting and Installation of Micro piles VEN-4391-MTY-1-19-0002 Rev.03,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MTY-1-19-0002,,exact match on PROJECT_DOCUMENT_DRAWING_NO
11,DANEM,DEW-5718-T-001,4391-MOM-DANEM-0001,-,,0,0,KICK OFF MEETING MINUTES FOR STORAGE TANKS WORKS,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
12,DANEM,DEW-5718-T-002,DEW-5718-PP-001,-,,0,0,PLANNING PACKAGE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
13,DANEM,DEW-5718-T-003,DEW-PQP-00001,-,,0,0,PROJECT QUALITY PLAN,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
14,DANEM,DEW-5718-T-004,DEW-5718-ORG-PM-001,-,,0,0,ORGANISATION CHART,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
15,DANEM,DEW-5718-T-005,DEW-MG-QAQC-ORG-001,-,,0,0,QA/QC ORGANISATION CHART,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
